file_name,cell_count,file_name_ch2,ch2_pos,plate_id,well
M23_02_1_2_RFP_001.tif,481,M23_02_2_2_GFP_001.tif,9,82,M23
C21_02_1_1_RFP_001.tif,114,C21_02_2_1_GFP_001.tif,0,82,C21
D7_02_1_1_RFP_001.tif,170,D7_02_2_1_GFP_001.tif,5,82,D07
M3_02_1_1_RFP_001.tif,247,M3_02_2_1_GFP_001.tif,112,82,M03
J10_02_1_1_RFP_001.tif,61,J10_02_2_1_GFP_001.tif,43,82,J10
C10_02_1_1_RFP_001.tif,248,C10_02_2_1_GFP_001.tif,1,82,C10
F15_02_1_1_RFP_001.tif,32,F15_02_2_1_GFP_001.tif,26,82,F15
G6_02_1_1_RFP_001.tif,125,G6_02_2_1_GFP_001.tif,93,82,G06
F2_02_1_2_RFP_001.tif,27,F2_02_2_2_GFP_001.tif,14,82,F02
M22_02_1_1_RFP_001.tif,209,M22_02_2_1_GFP_001.tif,51,82,M22
N22_02_1_1_RFP_001.tif,203,N22_02_2_1_GFP_001.tif,111,82,N22
D11_02_1_2_RFP_001.tif,448,D11_02_2_2_GFP_001.tif,0,82,D11
N12_02_1_1_RFP_001.tif,240,N12_02_2_1_GFP_001.tif,97,82,N12
J7_02_1_1_RFP_001.tif,4,J7_02_2_1_GFP_001.tif,1,82,J07
C23_02_1_2_RFP_001.tif,217,C23_02_2_2_GFP_001.tif,0,82,C23
L23_02_1_1_RFP_001.tif,90,L23_02_2_1_GFP_001.tif,6,82,L23
E22_02_1_1_RFP_001.tif,21,E22_02_2_1_GFP_001.tif,13,82,E22
I18_02_1_1_RFP_001.tif,86,I18_02_2_1_GFP_001.tif,51,82,I18
H10_02_1_1_RFP_001.tif,91,H10_02_2_1_GFP_001.tif,73,82,H10
F16_02_1_1_RFP_001.tif,20,F16_02_2_1_GFP_001.tif,11,82,F16
F10_02_1_2_RFP_001.tif,39,F10_02_2_2_GFP_001.tif,20,82,F10
M6_02_1_2_RFP_001.tif,459,M6_02_2_2_GFP_001.tif,76,82,M06
F9_02_1_1_RFP_001.tif,26,F9_02_2_1_GFP_001.tif,14,82,F09
K9_02_1_1_RFP_001.tif,44,K9_02_2_1_GFP_001.tif,3,82,K09
D18_02_1_2_RFP_001.tif,209,D18_02_2_2_GFP_001.tif,1,82,D18
